"Laufende Nummer","Gemeindeschlüssel SRDB",GS,"Amtlicher Gemeindeschlüssel SRDB",AGS,"Bundeseinheitlicher Regionalschlüssel","Textkennzeichen der Gemeinde","Postleitzahl",Gemeindename,Kreis,Kreis Nummer,Kreis Allgemeine Nummer,Kreis Typ,Kreis Name,Region,Region Nummer,Region Allgemeine Nummer,Region Name,Regierungsbezirk,Regierungsbezirk Nummer,Regierungsbezirk Allgemeine Nummer,Regierungsbezirk Name
1,GS,111000,KD,08111000,081110000000,62,70173,"Stuttgart, Landeshauptstadt",KR,111,08111,Stadtkreis,Stuttgart,RV,11,0811,Stuttgart,RB,1,081,Stuttgart
2,GS,115001,KD,08115001,081155001001,64,71134,Aidlingen,KR,115,08115,Landkreis,Böblingen,RV,11,0811,Stuttgart,RB,1,081,Stuttgart
3,GS,115002,KD,08115002,081155004002,64,71155,Altdorf,KR,115,08115,Landkreis,Böblingen,RV,11,0811,Stuttgart,RB,1,081,Stuttgart
4,GS,115003,KD,08115003,081150003003,67,71032,"Böblingen, Stadt",KR,115,08115,Landkreis,Böblingen,RV,11,0811,Stuttgart,RB,1,081,Stuttgart
5,GS,115004,KD,08115004,081155005004,64,71149,Bondorf,KR,115,08115,Landkreis,Böblingen,RV,11,0811,Stuttgart,RB,1,081,Stuttgart
6,GS,115010,KD,08115010,081155003010,64,75392,Deckenpfronn,KR,115,08115,Landkreis,Böblingen,RV,11,0811,Stuttgart,RB,1,081,Stuttgart
7,GS,115013,KD,08115013,081155002013,64,71139,Ehningen,KR,115,08115,Landkreis,Böblingen,RV,11,0811,Stuttgart,RB,1,081,Stuttgart
8,GS,115015,KD,08115015,081155002015,64,71116,Gärtringen,KR,115,08115,Landkreis,Böblingen,RV,11,0811,Stuttgart,RB,1,081,Stuttgart
9,GS,115016,KD,08115016,081155005016,64,71126,Gäufelden,KR,115,08115,Landkreis,Böblingen,RV,11,0811,Stuttgart,RB,1,081,Stuttgart
10,GS,115021,KD,08115021,081155003021,67,71083,"Herrenberg, Stadt",KR,115,08115,Landkreis,Böblingen,RV,11,0811,Stuttgart,RB,1,081,Stuttgart
11,GS,115022,KD,08115022,081155004022,64,71157,Hildrizhausen,KR,115,08115,Landkreis,Böblingen,RV,11,0811,Stuttgart,RB,1,081,Stuttgart
12,GS,115024,KD,08115024,081155004024,63,71088,"Holzgerlingen, Stadt",KR,115,08115,Landkreis,Böblingen,RV,11,0811,Stuttgart,RB,1,081,Stuttgart
13,GS,115028,KD,08115028,081150028028,67,71229,"Leonberg, Stadt",KR,115,08115,Landkreis,Böblingen,RV,11,0811,Stuttgart,RB,1,081,Stuttgart
14,GS,115029,KD,08115029,081150029029,64,71106,Magstadt,KR,115,08115,Landkreis,Böblingen,RV,11,0811,Stuttgart,RB,1,081,Stuttgart
15,GS,115034,KD,08115034,081155005034,64,71159,Mötzingen,KR,115,08115,Landkreis,Böblingen,RV,11,0811,Stuttgart,RB,1,081,Stuttgart
16,GS,115037,KD,08115037,081155003037,64,71154,Nufringen,KR,115,08115,Landkreis,Böblingen,RV,11,0811,Stuttgart,RB,1,081,Stuttgart
17,GS,115041,KD,08115041,081150041041,63,71272,"Renningen, Stadt",KR,115,08115,Landkreis,Böblingen,RV,11,0811,Stuttgart,RB,1,081,Stuttgart
18,GS,115042,KD,08115042,081150042042,63,71277,"Rutesheim, Stadt",KR,115,08115,Landkreis,Böblingen,RV,11,0811,Stuttgart,RB,1,081,Stuttgart
19,GS,115044,KD,08115044,081150044044,64,71101,Schönaich,KR,115,08115,Landkreis,Böblingen,RV,11,0811,Stuttgart,RB,1,081,Stuttgart
20,GS,115045,KD,08115045,081150045045,67,71063,"Sindelfingen, Stadt",KR,115,08115,Landkreis,Böblingen,RV,11,0811,Stuttgart,RB,1,081,Stuttgart
21,GS,115046,KD,08115046,081155006046,64,71144,Steinenbronn,KR,115,08115,Landkreis,Böblingen,RV,11,0811,Stuttgart,RB,1,081,Stuttgart
22,GS,115048,KD,08115048,081155006048,63,71111,"Waldenbuch, Stadt",KR,115,08115,Landkreis,Böblingen,RV,11,0811,Stuttgart,RB,1,081,Stuttgart
23,GS,115050,KD,08115050,081150050050,63,71263,"Weil der Stadt, Stadt",KR,115,08115,Landkreis,Böblingen,RV,11,0811,Stuttgart,RB,1,081,Stuttgart
24,GS,115051,KD,08115051,081150051051,64,71093,Weil im Schönbuch,KR,115,08115,Landkreis,Böblingen,RV,11,0811,Stuttgart,RB,1,081,Stuttgart
25,GS,115052,KD,08115052,081150052052,64,71287,Weissach,KR,115,08115,Landkreis,Böblingen,RV,11,0811,Stuttgart,RB,1,081,Stuttgart
26,GS,115053,KD,08115053,081155005053,64,71131,Jettingen,KR,115,08115,Landkreis,Böblingen,RV,11,0811,Stuttgart,RB,1,081,Stuttgart
27,GS,115054,KD,08115054,081155001054,64,71120,Grafenau,KR,115,08115,Landkreis,Böblingen,RV,11,0811,Stuttgart,RB,1,081,Stuttgart
28,GS,116004,KD,08116004,081165006004,64,73776,Altbach,KR,116,08116,Landkreis,Esslingen,RV,11,0811,Stuttgart,RB,1,081,Stuttgart
29,GS,116005,KD,08116005,081165003005,64,72655,Altdorf,KR,116,08116,Landkreis,Esslingen,RV,11,0811,Stuttgart,RB,1,081,Stuttgart
30,GS,116006,KD,08116006,081165003006,64,72657,Altenriet,KR,116,08116,Landkreis,Esslingen,RV,11,0811,Stuttgart,RB,1,081,Stuttgart
31,GS,116007,KD,08116007,081165007007,64,73666,Baltmannsweiler,KR,116,08116,Landkreis,Esslingen,RV,11,0811,Stuttgart,RB,1,081,Stuttgart
32,GS,116008,KD,08116008,081165003008,64,72658,Bempflingen,KR,116,08116,Landkreis,Esslingen,RV,11,0811,Stuttgart,RB,1,081,Stuttgart
33,GS,116011,KD,08116011,081165004011,64,72660,Beuren,KR,116,08116,Landkreis,Esslingen,RV,11,0811,Stuttgart,RB,1,081,Stuttgart
34,GS,116012,KD,08116012,081165008012,64,73266,Bissingen an der Teck,KR,116,08116,Landkreis,Esslingen,RV,11,0811,Stuttgart,RB,1,081,Stuttgart
35,GS,116014,KD,08116014,081165006014,64,73779,Deizisau,KR,116,08116,Landkreis,Esslingen,RV,11,0811,Stuttgart,RB,1,081,Stuttgart
36,GS,116015,KD,08116015,081160015015,64,73770,Denkendorf,KR,116,08116,Landkreis,Esslingen,RV,11,0811,Stuttgart,RB,1,081,Stuttgart
37,GS,116016,KD,08116016,081165001016,64,73265,Dettingen unter Teck,KR,116,08116,Landkreis,Esslingen,RV,11,0811,Stuttgart,RB,1,081,Stuttgart
38,GS,116018,KD,08116018,081165002018,64,73268,Erkenbrechtsweiler,KR,116,08116,Landkreis,Esslingen,RV,11,0811,Stuttgart,RB,1,081,Stuttgart
39,GS,116019,KD,08116019,081160019019,67,73728,"Esslingen am Neckar, Stadt",KR,116,08116,Landkreis,Esslingen,RV,11,0811,Stuttgart,RB,1,081,Stuttgart
40,GS,116020,KD,08116020,081165005020,64,72636,Frickenhausen,KR,116,08116,Landkreis,Esslingen,RV,11,0811,Stuttgart,RB,1,081,Stuttgart
41,GS,116022,KD,08116022,081165005022,64,72663,Großbettlingen,KR,116,08116,Landkreis,Esslingen,RV,11,0811,Stuttgart,RB,1,081,Stuttgart
